ts,te,td,sa,da,sp,dp,pr,flg,fwd,stos,ipkt,ibyt,opkt,obyt,in,out,sas,das,smk,dmk,dtos,dir,nh,nhb,svln,dvln,ismc,odmc,idmc,osmc,mpls1,mpls2,mpls3,mpls4,mpls5,mpls6,mpls7,mpls8,mpls9,mpls10,cl,sl,al,ra,eng,exid,tr
2023-05-18 18:17:29,2023-05-18 18:17:29,0.023,1.0.0.1,172.31.1.100,443,41540,TCP,...AP.S.,0,0,4,3150,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.056,    5.407,    6.783,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:17:27,2023-05-18 18:17:27,0.025,76.76.2.11,172.31.1.100,443,41392,TCP,...AP.S.,0,0,14,4375,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.049,    5.293,    4.569,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:17:29,2023-05-18 18:17:29,0.024,172.31.1.100,1.0.0.1,41540,443,TCP,...AP.S.,0,0,8,971,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.056,    5.407,    6.783,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:17:27,2023-05-18 18:17:27,0.030,172.31.1.100,76.76.2.11,41392,443,TCP,...AP.S.,0,0,11,1101,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.049,    5.293,    4.569,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:17:29,2023-05-18 18:17:47,18.319,1.0.0.1,172.31.1.100,443,41540,TCP,...AP...,0,0,20,4249,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.225,    0.214,    2.196,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:17:31,2023-05-18 18:17:41,10.049,194.242.2.2,172.31.1.100,443,41844,TCP,...APRSF,0,0,11,5935,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.049,    5.769,    4.570,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:17:41,2023-05-18 18:17:41,0.079,76.76.2.11,172.31.1.100,443,41392,TCP,...AP...,0,0,5,358,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,   40.549,    4.864,   37.590,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:17:29,2023-05-18 18:17:47,18.319,172.31.1.100,1.0.0.1,41540,443,TCP,...AP...,0,0,18,1614,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.225,    0.214,    2.196,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:17:31,2023-05-18 18:17:41,10.052,172.31.1.100,194.242.2.2,41844,443,TCP,...AP.SF,0,0,11,1019,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.049,    5.769,    4.570,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-18 18:17:41,2023-05-18 18:17:41,0.083,172.31.1.100,76.76.2.11,41392,443,TCP,...AP...,0,0,5,364,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,   40.549,    4.864,   37.590,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
