srcip,dstip,srcport,dstport,proto,ts,td,pkt,byt
16777217,2887713124,443,41540,TCP,1684433849000,0.023,4,3150
1280049675,2887713124,443,41392,TCP,1684433847000,0.025,14,4375
2887713124,16777217,41540,443,TCP,1684433849000,0.024,8,971
2887713124,1280049675,41392,443,TCP,1684433847000,0.03,11,1101
16777217,2887713124,443,41540,TCP,1684433849000,18.319,20,4249
3270640130,2887713124,443,41844,TCP,1684433851000,10.049,11,5935
1280049675,2887713124,443,41392,TCP,1684433861000,0.079,5,358
2887713124,16777217,41540,443,TCP,1684433849000,18.319,18,1614
2887713124,3270640130,41844,443,TCP,1684433851000,10.052,11,1019
2887713124,1280049675,41392,443,TCP,1684433861000,0.083,5,364
2887713124,1732128915,47564,443,TCP,1684433853000,17.227,15,1429
1732128915,2887713124,443,47564,TCP,1684433853000,17.219,13,4610
16777217,2887713124,443,41540,TCP,1684433871000,27.566,25,5521
3270640130,2887713124,443,40936,TCP,1684433901000,0.014,3,2520
1280049675,2887713124,443,41392,TCP,1684433876000,14.741,3,120
2887713124,16777217,41540,443,TCP,1684433871000,27.572,25,2447
2887713124,3270640130,40936,443,TCP,1684433901000,0.013,3,385
2887713124,1280049675,41392,443,TCP,1684433876000,14.741,5,160
2887713124,1732128915,47564,443,TCP,1684433885000,0.004,5,148
1732128915,2887713124,443,47564,TCP,1684433885000,0.0,3,120
16777217,2887713124,443,41540,TCP,1684433913000,16.334,11,2712
3270640130,2887713124,443,40936,TCP,1684433901000,10.113,10,3492
1280049675,2887713124,443,37432,TCP,1684433905000,18.706,15,4371
2887713124,16777217,41540,443,TCP,1684433913000,16.335,15,1522
2887713124,3270640130,40936,443,TCP,1684433901000,10.108,12,763
2887713124,1280049675,37432,443,TCP,1684433905000,18.713,13,1160
2887713124,1732128915,37462,443,TCP,1684433903000,23.523,15,1442
1732128915,2887713124,443,37462,TCP,1684433903000,23.518,15,4840
16777217,2887713124,443,41540,TCP,1684433929000,6.996,6,1372
3270640130,2887713124,443,45816,TCP,1684433953000,0.013,5,5022
1280049675,2887713124,443,37432,TCP,1684433931000,9.461,18,1498
2887713124,16777217,41540,443,TCP,1684433929000,6.995,5,362
2887713124,3270640130,45816,443,TCP,1684433953000,0.021,6,481
2887713124,1280049675,37432,443,TCP,1684433931000,9.466,17,1365
2887713124,1732128915,37462,443,TCP,1684433941000,0.014,4,128
1732128915,2887713124,443,37462,TCP,1684433941000,0.0,3,120
16777217,2887713124,443,41540,TCP,1684433966000,0.0,2,64
3270640130,2887713124,443,45816,TCP,1684433953000,12.221,11,1453
1280049675,2887713124,443,37432,TCP,1684433956000,14.928,4,152
2887713124,16777217,41540,443,TCP,1684433966000,0.004,3,120
2887713124,3270640130,45816,443,TCP,1684433953000,12.22,12,887
2887713124,1280049675,37432,443,TCP,1684433956000,14.928,6,180
2887713124,1701143909,57152,443,TCP,1684433957000,36.939,19,1569
2887713124,1732128915,53178,443,TCP,1684433992000,4.203,13,1367
