ts,te,td,sa,da,sp,dp,pr,flg,fwd,stos,ipkt,ibyt,opkt,obyt,in,out,sas,das,smk,dmk,dtos,dir,nh,nhb,svln,dvln,ismc,odmc,idmc,osmc,mpls1,mpls2,mpls3,mpls4,mpls5,mpls6,mpls7,mpls8,mpls9,mpls10,cl,sl,al,ra,eng,exid,tr
2023-05-19 15:45:35,2023-05-19 15:45:51,16.108,194.242.2.2,172.31.1.100,443,46120,TCP,...APRSF,0,0,13,6214,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.063,    4.171,    4.930,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 15:45:35,2023-05-19 15:45:51,16.110,172.31.1.100,194.242.2.2,46120,443,TCP,...AP.SF,0,0,14,1239,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.063,    4.171,    4.930,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 15:46:00,2023-05-19 15:46:10,10.102,194.242.2.2,172.31.1.100,443,47932,TCP,...APRSF,0,0,13,6012,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.080,    6.449,    5.822,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 15:47:09,2023-05-19 15:47:19,10.045,194.242.2.2,172.31.1.100,443,55456,TCP,...APRSF,0,0,12,5964,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.041,    5.919,    4.371,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 15:45:54,2023-05-19 15:46:24,30.047,8.8.8.8,172.31.1.100,443,60868,TCP,...AP.SF,0,0,14,6223,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.123,    5.329,   11.743,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 15:46:48,2023-05-19 15:47:26,38.808,76.76.2.11,172.31.1.100,443,58650,TCP,...AP.SF,0,0,23,4774,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.040,   14.396,   15.623,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 15:45:40,2023-05-19 15:46:40,59.636,76.76.2.11,172.31.1.100,443,51438,TCP,...AP.SF,0,0,23,4825,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.080,    8.328,    5.201,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 15:46:30,2023-05-19 15:47:00,30.191,149.112.112.12,172.31.1.100,443,33080,TCP,...APRSF,0,0,11,4754,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.138,    5.672,    6.366,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 15:45:58,2023-05-19 15:46:28,30.040,149.112.112.12,172.31.1.100,443,54502,TCP,...AP.SF,0,0,10,4723,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.146,    4.026,   12.084,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-19 15:45:45,2023-05-19 15:46:56,71.023,74.82.42.42,172.31.1.100,443,57664,TCP,...APRSF,0,0,23,8252,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.083,    5.146,    4.794,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
