srcip,dstip,srcport,dstport,proto,ts,td,pkt,byt
3270640130,2887713124,443,46120,TCP,1684511135000,16.108,13,6214
2887713124,3270640130,46120,443,TCP,1684511135000,16.11,14,1239
3270640130,2887713124,443,47932,TCP,1684511160000,10.102,13,6012
3270640130,2887713124,443,55456,TCP,1684511229000,10.045,12,5964
134744072,2887713124,443,60868,TCP,1684511154000,30.047,14,6223
1280049675,2887713124,443,58650,TCP,1684511208000,38.808,23,4774
1280049675,2887713124,443,51438,TCP,1684511140000,59.636,23,4825
2507173900,2887713124,443,33080,TCP,1684511190000,30.191,11,4754
2507173900,2887713124,443,54502,TCP,1684511158000,30.04,10,4723
1246898730,2887713124,443,57664,TCP,1684511145000,71.023,23,8252
2887713124,3270640130,47932,443,TCP,1684511160000,10.104,14,1115
2887713124,3270640130,55456,443,TCP,1684511229000,10.047,14,1115
2887713124,134744072,60868,443,TCP,1684511154000,30.052,15,1275
2887713124,1280049675,58650,443,TCP,1684511208000,38.823,23,1679
2887713124,1280049675,51438,443,TCP,1684511140000,59.644,22,1646
2887713124,2507173900,33080,443,TCP,1684511190000,30.192,14,1231
2887713124,2507173900,54502,443,TCP,1684511158000,30.045,15,1239
2887713124,1246898730,57664,443,TCP,1684511145000,71.026,23,2116
2887713124,1586237068,53630,443,TCP,1684511150000,30.127,18,1323
2887713124,2928287151,33288,443,TCP,1684511211000,19.964,14,1224
1586237068,2887713124,443,53630,TCP,1684511150000,30.122,16,3516
2928287151,2887713124,443,33288,TCP,1684511211000,19.962,11,4847
16777217,2887713124,443,33666,TCP,1684511153000,183.998,76,19666
3270640130,2887713124,443,35092,TCP,1684511316000,21.379,19,6643
2887713124,16777217,33666,443,TCP,1684511153000,184.006,94,8481
2887713124,3270640130,35092,443,TCP,1684511316000,21.378,22,1743
2887713124,1586237068,52088,443,TCP,1684511311000,30.111,18,1335
1586237068,2887713124,443,52088,TCP,1684511311000,30.105,18,3549
1586237199,2887713124,443,36546,TCP,1684511333000,32.395,21,3912
2887713124,1586237199,36546,443,TCP,1684511333000,32.401,22,1635
16777217,2887713124,443,49036,TCP,1684511339000,103.748,54,14829
3270640130,2887713124,443,38160,TCP,1684511391000,10.262,12,5962
134744072,2887713124,443,45140,TCP,1684511200000,175.111,157,24931
134744072,2887713124,443,45966,TCP,1684511424000,0.402,13,6189
2507173900,2887713124,443,38140,TCP,1684511394000,47.495,16,5369
1246898730,2887713124,443,52412,TCP,1684511434000,4.488,16,6847
2887713124,16777217,49036,443,TCP,1684511339000,103.755,62,5985
2887713124,3270640130,38160,443,TCP,1684511391000,10.263,13,1083
2887713124,134744072,45140,443,TCP,1684511200000,175.119,101,9148
2887713124,134744072,45966,443,TCP,1684511424000,0.426,13,1186
2887713124,2507173900,38140,443,TCP,1684511394000,47.496,23,2122
2887713124,1246898730,52412,443,TCP,1684511434000,4.494,15,1433
2887713124,1586237068,50942,443,TCP,1684511360000,58.621,36,2932
2887713124,602137230,46890,443,TCP,1684511418000,32.967,27,2329
2887713124,3118770344,47180,443,TCP,1684511430000,1.344,17,1527
1586237068,2887713124,443,50942,TCP,1684511360000,58.614,36,5576
602137230,2887713124,443,46890,TCP,1684511418000,33.047,33,7006
3118770344,2887713124,443,47180,TCP,1684511430000,1.319,12,6592
16777217,2887713124,443,49036,TCP,1684511454000,35.688,24,6043
2456824066,2887713124,443,36704,TCP,1684511475000,13.467,12,9076
1728198917,2887713124,443,38080,TCP,1684511465000,5.337,14,3807
134744072,2887713124,443,45966,TCP,1684511455000,0.0,3,96
1246898730,2887713124,443,52412,TCP,1684511469000,0.009,3,164
2338577992,2887713124,443,50386,TCP,1684511484000,0.462,11,5764
2887713124,16777217,49036,443,TCP,1684511454000,35.715,34,2748
2887713124,2456824066,36704,443,TCP,1684511475000,13.469,15,1245
2887713124,1728198917,38080,443,TCP,1684511465000,5.408,15,1309
2887713124,134744072,45966,443,TCP,1684511455000,0.022,3,120
2887713124,1246898730,52412,443,TCP,1684511469000,0.001,3,120
2887713124,2338577992,50386,443,TCP,1684511484000,0.598,13,1153
2887713124,602137230,46890,443,TCP,1684511451000,37.192,10,723
2887713124,3118770344,47180,443,TCP,1684511461000,0.005,3,119
2887713124,1893015771,44268,443,TCP,1684511491000,0.206,9,999
602137230,2887713124,443,46890,TCP,1684511451000,37.194,13,937
3118770344,2887713124,443,47180,TCP,1684511461000,0.0,2,64
1893015771,2887713124,443,44268,TCP,1684511491000,0.205,11,5060
3270640130,2887713124,443,49904,TCP,1684511497000,50.556,25,7416
1728198917,2887713124,443,38080,TCP,1684511501000,0.0,1,20
2338577992,2887713124,443,50386,TCP,1684511495000,0.094,4,179
2887713124,3270640130,49904,443,TCP,1684511497000,50.555,29,2591
2887713124,1728198917,38080,443,TCP,1684511501000,0.001,2,88
2887713124,2338577992,50386,443,TCP,1684511495000,0.0,5,184
2887713124,1893015771,44268,443,TCP,1684511491000,30.112,9,307
1893015771,2887713124,443,44268,TCP,1684511491000,30.107,8,535
3741648133,2887713124,443,60124,TCP,1684511573000,36.543,19,4023
2887713124,3741648133,60124,443,TCP,1684511573000,36.636,24,1696
2887713124,1586237068,35128,443,TCP,1684511550000,46.452,25,1953
2887713124,602137230,60712,443,TCP,1684511580000,38.465,27,2152
1586237068,2887713124,443,35128,TCP,1684511550000,46.427,24,4467
602137230,2887713124,443,60712,TCP,1684511580000,38.453,30,6627
16777217,2887713124,443,49036,TCP,1684511496000,202.048,112,26035
1586237199,2887713124,443,60072,TCP,1684511642000,61.189,45,6440
2887713124,16777217,49036,443,TCP,1684511496000,202.075,136,12330
2887713124,1586237199,60072,443,TCP,1684511642000,61.194,50,3954
2887713124,3118770344,50200,443,TCP,1684511602000,60.386,28,2314
3118770344,2887713124,443,50200,TCP,1684511602000,60.378,21,7305
760880640,2887713124,443,60844,TCP,1684511812000,15.957,15,4609
16777217,2887713124,443,49036,TCP,1684511706000,122.084,69,16959
1728198917,2887713124,443,39590,TCP,1684511817000,11.352,10,3041
2507173900,2887713124,443,46548,TCP,1684511807000,21.156,12,4764
1586237199,2887713124,443,60072,TCP,1684511703000,122.641,63,5946
2887713124,760880640,60844,443,TCP,1684511812000,16.048,18,1533
2887713124,16777217,49036,443,TCP,1684511706000,122.089,96,8117
2887713124,1728198917,39590,443,TCP,1684511817000,11.354,11,1126
2887713124,2507173900,46548,443,TCP,1684511807000,21.16,16,1272
2887713124,1586237199,60072,443,TCP,1684511703000,122.641,77,5282
2887713124,603244703,59976,443,TCP,1684511842000,1.822,15,1243
603244703,2887713124,443,59976,TCP,1684511842000,1.938,14,6645
2507173900,2887713124,443,60178,TCP,1684511852000,30.749,9,4646
3407737164,2887713124,443,39260,TCP,1684511838000,30.848,20,5662
2887713124,2507173900,60178,443,TCP,1684511852000,30.756,15,1239
2887713124,3407737164,39260,443,TCP,1684511838000,30.996,21,1414
2887713124,2737796528,40770,443,TCP,1684511833000,30.738,20,1369
2737796528,2887713124,443,40770,TCP,1684511833000,30.64,16,5483
1246898730,2887713124,443,60198,TCP,1684511874000,30.293,16,6462
1607930677,2887713124,443,46784,TCP,1684511871000,30.53,16,6521
2887713124,1246898730,60198,443,TCP,1684511874000,30.322,15,1267
2887713124,1607930677,46784,443,TCP,1684511871000,30.7,15,1157
2887713124,602137230,41888,443,TCP,1684511856000,41.886,30,2586
602137230,2887713124,443,41888,TCP,1684511856000,41.88,39,7192
3270640130,2887713124,443,42054,TCP,1684511923000,29.298,22,6973
1586237199,2887713124,443,53308,TCP,1684511878000,74.178,39,5688
2887713124,3270640130,42054,443,TCP,1684511923000,29.309,25,2087
2887713124,1586237199,53308,443,TCP,1684511878000,74.199,41,3149
2456824066,2887713124,443,54032,TCP,1684511957000,15.516,16,9736
755707147,2887713124,443,50034,TCP,1684511948000,30.49,13,4053
2887713124,2456824066,54032,443,TCP,1684511956000,15.498,21,1636
2887713124,755707147,50034,443,TCP,1684511948000,30.647,15,1217
2887713124,1893015771,57572,443,TCP,1684511945000,30.535,17,1286
1893015771,2887713124,443,57572,TCP,1684511945000,30.437,18,5510
16777217,2887713124,443,45650,TCP,1684511848000,135.829,44,11593
134744072,2887713124,443,58986,TCP,1684511951000,46.183,41,9806
1495696166,2887713124,443,39378,TCP,1684511982000,2.557,13,5824
3110066731,2887713124,443,50516,TCP,1684511968000,30.885,11,4184
2887713124,16777217,45650,443,TCP,1684511848000,135.835,53,4817
2887713124,134744072,58986,443,TCP,1684511951000,46.188,32,2792
2887713124,1495696166,39378,443,TCP,1684511982000,2.56,13,954
2887713124,3110066731,50516,443,TCP,1684511968000,31.066,16,1290
2887713124,2817256555,42454,443,TCP,1684511977000,30.7,15,1252
2887713124,2297717106,55108,443,TCP,1684511992000,10.113,18,1569
2817256555,2887713124,443,42454,TCP,1684511977000,30.538,10,4389
2297717106,2887713124,443,55108,TCP,1684511993000,10.042,15,7231
3741648133,2887713124,443,52568,TCP,1684511974000,44.467,30,4727
1959440410,2887713124,443,37030,TCP,1684511986000,27.561,14,6968
2887713124,3741648133,52568,443,TCP,1684511974000,44.561,33,2488
2887713124,1959440410,37030,443,TCP,1684511985000,27.466,16,1292
2887713124,2184912891,45022,443,TCP,1684512017000,1.611,11,1106
2184912891,2887713124,443,45022,TCP,1684512017000,1.341,10,4007
760880640,2887713124,443,39530,TCP,1684511999000,41.107,17,4754
2887713124,760880640,39530,443,TCP,1684511999000,41.197,18,1534
2887713124,2184912891,45022,443,TCP,1684512048000,0.001,3,120
2184912891,2887713124,443,45022,TCP,1684512048000,0.204,3,164
1586237199,2887713124,443,52074,TCP,1684512003000,137.16,95,11824
2887713124,1586237199,52074,443,TCP,1684512003000,137.173,115,8252
2466199650,2887713124,443,41470,TCP,1684512113000,31.871,12,4646
2887713124,2466199650,41470,443,TCP,1684512113000,32.114,17,1597
1246898730,2887713124,443,37192,TCP,1684512142000,51.297,30,10111
2887713124,1246898730,37192,443,TCP,1684512142000,51.314,33,3038
134744072,2887713124,443,34468,TCP,1684512014000,298.773,280,41111
2887713124,134744072,34468,443,TCP,1684512014000,298.775,173,16102
16777217,2887713124,443,45480,TCP,1684512169000,293.172,148,37905
2887713124,16777217,45480,443,TCP,1684512169000,293.178,207,17593
134744072,2887713124,443,48478,TCP,1684512561000,31.303,15,6292
134744072,2887713124,443,34468,TCP,1684512313000,244.624,315,40402
