ts,te,td,sa,da,sp,dp,pr,flg,fwd,stos,ipkt,ibyt,opkt,obyt,in,out,sas,das,smk,dmk,dtos,dir,nh,nhb,svln,dvln,ismc,odmc,idmc,osmc,mpls1,mpls2,mpls3,mpls4,mpls5,mpls6,mpls7,mpls8,mpls9,mpls10,cl,sl,al,ra,eng,exid,tr
2023-05-15 17:01:13,2023-05-15 17:01:13,0.041,194.242.2.2,172.30.1.4,443,59438,TCP,...AP.SF,0,0,4,4990,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.078,    5.828,    4.963,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-15 17:01:13,2023-05-15 17:01:13,0.047,172.30.1.4,194.242.2.2,59438,443,TCP,...AP.SF,0,0,6,481,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.078,    5.828,    4.963,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-15 17:01:16,2023-05-15 17:01:16,0.001,172.30.1.4,89.233.43.71,35760,443,TCP,...AP..F,0,0,3,120,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,  307.075,    0.120,    0.000,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-15 17:01:16,2023-05-15 17:01:17,0.307,89.233.43.71,172.30.1.4,443,35760,TCP,...APR.F,0,0,3,164,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,  307.075,    0.120,    0.000,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-15 17:01:13,2023-05-15 17:01:23,10.132,194.242.2.2,172.30.1.4,443,59442,TCP,...APRSF,0,0,13,6179,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.069,    5.083,    4.121,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-15 17:01:13,2023-05-15 17:01:23,10.134,172.30.1.4,194.242.2.2,59442,443,TCP,...AP.SF,0,0,13,1207,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.069,    5.083,    4.121,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-15 17:01:18,2023-05-15 17:01:48,30.060,172.30.1.4,76.76.2.11,50740,443,TCP,...APRSF,0,0,16,1261,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.064,    4.725,    3.987,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-15 17:01:17,2023-05-15 17:01:50,32.772,172.30.1.4,213.196.191.96,40368,443,TCP,...AP..F,0,0,2,112,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-15 17:01:24,2023-05-15 17:01:54,30.035,172.30.1.4,94.140.14.140,60756,443,TCP,...APRSF,0,0,17,1304,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.047,    5.034,    4.343,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-15 17:01:13,2023-05-15 17:01:43,30.105,172.30.1.4,194.156.163.172,43732,443,TCP,...APRSF,0,0,17,1286,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.054,    6.823,    5.503,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
2023-05-15 17:01:18,2023-05-15 17:01:48,30.055,76.76.2.11,172.30.1.4,443,50740,TCP,...AP.SF,0,0,18,4637,0,0,0,0,0,0,0,0,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.064,    4.725,    3.987,0.0.0.0,0/0,0,1970-01-01 07:30:00.000
